Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-8838.626	-9269.402	430.7759	1.224531	0.4061432	4.183433
6	-8848.467	-9279.538	431.0714	1.241866	0.3287632	4.095472
12	-8854.807	-9284.633	429.8259	1.068113	0.3315876	4.890742
18	-8847.971	-9277.832	429.8611	1.056024	0.364015	4.839598
24	-8843.5	-9275.002	431.5015	1.248669	0.4164649	3.743176
30	-8864.434	-9294.811	430.3764	1.162418	0.3711797	4.483194
36	-8858.469	-9289.054	430.5852	1.173002	0.3711797	4.359487
42	-8858.906	-9289.22	430.3148	1.095909	0.3237239	4.611629
48	-8863.94	-9293.98	430.0393	1.04897	0.3346732	4.778627
54	-8846.948	-9276.399	429.4508	1.076723	0.314943	5.11485
60	-8855.661	-9286.843	431.1819	1.184793	0.3991109	3.982405
66	-8866.071	-9296.66	430.5895	1.183862	0.3704874	4.351713
72	-8866.158	-9297.211	431.0532	1.218887	0.3297902	4.117642
78	-8857.97	-9288.399	430.4297	1.218887	0.3847355	4.406071
84	-8845.227	-9275.187	429.9607	1.097393	0.3189538	4.814834
90	-8843.974	-9274.377	430.403	1.097393	0.3998816	4.472907
96	-8842.715	-9273.114	430.3993	1.111502	0.3944885	4.472907
102	-8849.755	-9279.172	429.4172	1.082114	0.3586273	5.078105
108	-8856.916	-9287.356	430.4398	1.07983	0.3888372	4.474144
114	-8855.333	-9286.337	431.0036	1.215297	0.351315	4.121624
120	-8846.258	-9276.688	430.4301	1.133404	0.4050056	4.431807
126	-8849.471	-9280.232	430.7615	1.130504	0.3908593	4.261644
132	-8846.04	-9277.632	431.5917	1.300623	0.3703382	3.713026
138	-8846.776	-9277.776	431.0003	1.25631	0.4072249	4.036421
144	-8859.018	-9289.209	430.1911	1.113838	0.429484	4.551489
150	-8851.039	-9281.02	429.9814	1.209609	0.3316893	4.724877
156	-8842.411	-9272.944	430.5329	1.180386	0.3489855	4.41077
162	-8843.804	-9273.591	429.7873	1.095813	0.3527095	4.871618
168	-8844.962	-9274.791	429.8287	1.124339	0.3527095	4.832663
174	-8836.606	-9266.904	430.2978	1.068284	0.3034365	4.662408
180	-8856.276	-9287.878	431.6021	1.274822	0.4242869	3.661482
186	-8858.901	-9290.528	431.6271	1.311655	0.4706531	3.577566
192	-8844.249	-9275.351	431.1018	1.246722	0.3423462	4.058602
198	-8853.55	-9284.428	430.8778	1.274257	0.3207414	4.197193
204	-8848.991	-9280.381	431.3899	1.293937	0.3310623	3.880705
210	-8867.121	-9299.07	431.949	1.21819	0.3490728	3.579289
216	-8858.832	-9290.038	431.2059	1.150574	0.347301	4.048052
222	-8844.132	-9274.545	430.4136	1.188065	0.3948387	4.421318
228	-8847.717	-9278.516	430.7989	1.207983	0.4119937	4.17344
234	-8846.955	-9277.924	430.9691	1.207983	0.3603876	4.134641
240	-8839.433	-9269.548	430.1147	1.169788	0.3655253	4.632477
246	-8847.684	-9277.753	430.0684	1.089032	0.4312141	4.632477
252	-8833.666	-9264.06	430.3933	1.127287	0.3822475	4.480933
258	-8838.363	-9268.684	430.3212	1.138574	0.299564	4.614922
264	-8860.509	-9291.06	430.5512	1.121319	0.3447456	4.438785
270	-8840.818	-9272.385	431.5672	1.256303	0.3935079	3.72619
276	-8841.566	-9270.795	429.2288	1.138284	0.3508527	5.160389
282	-8852.121	-9282.429	430.3082	1.153105	0.2737148	4.648882
288	-8850.133	-9280.421	430.2877	1.057425	0.3231896	4.649089
294	-8872.445	-9302.043	429.5977	1.07724	0.3500252	4.990587
300	-8869.874	-9299.505	429.6306	1.047471	0.3741197	4.961278
306	-8872.554	-9302.369	429.8148	1.129908	0.3204256	4.876209
312	-8903.264	-9334.022	430.7585	1.138275	0.3057177	4.360997
318	-8900.362	-9331.166	430.8044	1.225366	0.2990771	4.294559
324	-8880.71	-9312.03	431.3198	1.179285	0.2847192	4.047233
330	-8866.365	-9296.979	430.614	1.205442	0.4470871	4.243216
336	-8864.723	-9296.72	431.9961	1.302156	0.4317515	3.408095
342	-8853.769	-9285.491	431.722	1.205556	0.329627	3.742263
348	-8858.62	-9290.172	431.5513	1.266895	0.3989259	3.723198
354	-8853.42	-9284.958	431.5385	1.210851	0.3958165	3.766392
360	-8848.273	-9279.939	431.6663	1.210851	0.3958165	3.69258
366	-8837.909	-9269	431.0917	1.157953	0.3314516	4.128295
372	-8837.724	-9267.886	430.1618	1.112945	0.3859593	4.614921
378	-8846.992	-9277.905	430.9132	1.178898	0.4619476	4.073356
384	-8847.853	-9278.724	430.8716	1.160141	0.341024	4.240314
390	-8845.531	-9276.381	430.8501	1.176942	0.318979	4.270344
396	-8841.561	-9272.582	431.021	1.176942	0.318979	4.173397
402	-8833.885	-9264.759	430.8732	1.19403	0.4132708	4.137747
408	-8840.555	-9272.004	431.449	1.310779	0.3992524	3.756518
414	-8837.465	-9268.856	431.3918	1.243502	0.3285513	3.911695
420	-8846.605	-9277.071	430.4662	1.212559	0.3986038	4.373724
426	-8838.635	-9269.14	430.5043	1.182	0.3947384	4.373724
432	-8849.793	-9280.386	430.5934	1.132632	0.3915945	4.354744
438	-8846.418	-9276.944	430.5264	1.094363	0.3833564	4.423301
444	-8840.477	-9271.196	430.719	1.173988	0.3601449	4.296102
450	-8842.101	-9273.291	431.1894	1.233653	0.3526113	4.003622
456	-8854.832	-9285.525	430.6929	1.252668	0.4046963	4.216098
462	-8849.393	-9280.975	431.5817	1.30116	0.347321	3.746045
468	-8840.69	-9271.918	431.228	1.234676	0.3696916	3.960818
474	-8843.135	-9274.213	431.0782	1.158121	0.3226215	4.146991
480	-8844.925	-9276.372	431.4469	1.249964	0.3649589	3.832013
486	-8848.491	-9279.966	431.4753	1.329322	0.3148486	3.832013
492	-8835.103	-9266.709	431.6059	1.281654	0.3963762	3.685965
498	-8823.748	-9254.514	430.7661	1.284479	0.4081301	4.15279
504	-8828.697	-9259.501	430.8039	1.269505	0.3477147	4.208582
510	-8826.612	-9257.596	430.9841	1.261471	0.3395798	4.120642
516	-8827.583	-9258.233	430.6501	1.143861	0.3579925	4.354587
522	-8836.976	-9266.623	429.6463	1.143861	0.3140987	4.970134
528	-8842.867	-9273.887	431.0199	1.213083	0.3192155	4.153188
534	-8845.691	-9276.53	430.8389	1.213083	0.3931419	4.168394
540	-8865.694	-9296.292	430.5983	1.214828	0.387588	4.309933
546	-8859.82	-9290.93	431.1101	1.254666	0.3815807	4.003123
552	-8851.362	-9282.513	431.1509	1.217623	0.4220867	3.956471
558	-8846.735	-9277.782	431.0466	1.161914	0.3274922	4.156633
564	-8850.394	-9281.392	430.9975	1.155027	0.3357141	4.178246
570	-8846.045	-9276.788	430.7431	1.142379	0.3387438	4.325849
576	-8849.462	-9280.213	430.7512	1.156466	0.3173233	4.339942
582	-8874.723	-9305.366	430.6422	1.108597	0.2627621	4.501721
588	-8868.163	-9298.723	430.5602	1.166978	0.3677807	4.380909
594	-8846.265	-9277.589	431.3239	1.260774	0.3324979	3.935762
600	-8832.492	-9262.853	430.3611	1.102311	0.4084804	4.484416
606	-8825.001	-9255.42	430.4194	1.16673	0.4063396	4.417615
612	-8825.837	-9256.839	431.0023	1.152273	0.3361012	4.176611
618	-8829.164	-9259.925	430.7604	1.254534	0.4305317	4.14927
624	-8833.252	-9264.353	431.1015	1.184657	0.4125912	4.013734
630	-8827.951	-9258.476	430.5259	1.137362	0.4416511	4.337156
636	-8833.061	-9263.671	430.6105	1.157552	0.3817152	4.34201
642	-8827.58	-9257.716	430.1369	1.13454	0.392914	4.609139
648	-8839.309	-9269.065	429.7559	1.06829	0.3272012	4.934933
654	-8855.57	-9284.586	429.0153	1.056145	0.3600105	5.313227
660	-8862.536	-9291.696	429.1605	0.965297	0.334386	5.313227
666	-8859.807	-9288.621	428.8134	1.028781	0.4023696	5.39314
672	-8855.586	-9285.867	430.2814	1.115616	0.3174656	4.627134
678	-8853.665	-9283.977	430.3127	1.136089	0.2949728	4.627134
684	-8852.249	-9282.043	429.7939	1.112624	0.3537925	4.857309
690	-8860.006	-9290.071	430.0649	1.046096	0.3601904	4.735771
696	-8857.818	-9288.596	430.7781	1.198688	0.3889693	4.215683
702	-8822.357	-9253.516	431.1588	1.198117	0.3562071	4.037105
708	-8835.99	-9266.436	430.446	1.158725	0.4121358	4.400914
714	-8835.198	-9265.928	430.73	1.158725	0.3656433	4.292102
720	-8833.652	-9264.341	430.6886	1.200097	0.3656433	4.292102
726	-8827.391	-9258.057	430.6658	1.176116	0.3632116	4.321368
732	-8827.873	-9258.707	430.8342	1.216639	0.3054503	4.274242
738	-8840.99	-9271.6	430.6097	1.183491	0.3722386	4.338548
744	-8839.877	-9270.808	430.9318	1.183491	0.3450275	4.188069
750	-8853.52	-9283.912	430.3916	1.121715	0.4378085	4.425679
756	-8857.476	-9287.87	430.3933	1.128844	0.3710943	4.49265
762	-8852.768	-9283.39	430.6217	1.199168	0.3928176	4.299764
768	-8854.087	-9285.027	430.9399	1.1918	0.2913747	4.247064
774	-8847.372	-9278.424	431.052	1.1918	0.3891568	4.063625
780	-8857.286	-9287.81	430.5241	1.1918	0.3623413	4.393602
786	-8841.21	-9272.667	431.4575	1.185444	0.3673303	3.86025
792	-8831.598	-9262.583	430.9851	1.197305	0.3986242	4.088124
798	-8837.906	-9268.579	430.6724	1.145232	0.3839296	4.311482
804	-8830.138	-9260.508	430.3704	1.16316	0.3437987	4.518183
810	-8834.989	-9265.573	430.5841	1.064832	0.3437987	4.453222
816	-8840.514	-9270.003	429.4895	1.097975	0.3365104	5.055185
822	-8839.889	-9270.571	430.6825	1.124904	0.392994	4.307197
828	-8840.96	-9270.568	429.6075	1.077619	0.3511535	4.983618
834	-8848.993	-9278.667	429.674	1.087327	0.316119	4.983618
840	-8846.525	-9276.097	429.5719	1.108408	0.3534535	4.983618
846	-8846.419	-9276.024	429.6048	1.077112	0.3534535	4.982724
852	-8846.286	-9278.163	431.8771	1.224836	0.3238504	3.648828
858	-8852.233	-9282.772	430.5386	1.18498	0.3711733	4.379073
864	-8845.365	-9275.492	430.1278	1.159751	0.3392474	4.661644
870	-8841.051	-9272.008	430.9572	1.231522	0.3754529	4.11054
876	-8840.878	-9271.773	430.8954	1.263604	0.4044213	4.095132
882	-8868.027	-9299.464	431.4369	1.189584	0.4113469	3.82003
888	-8865.07	-9296.311	431.2407	1.261135	0.4113469	3.891601
894	-8832.31	-9263.903	431.5932	1.243225	0.3574969	3.760538
900	-8835.79	-9267.117	431.3272	1.219646	0.316622	3.977532
906	-8849.267	-9280.244	430.9772	1.212858	0.3629951	4.124187
912	-8844.7	-9275.475	430.7754	1.208397	0.3516965	4.254627
918	-8858.493	-9289.007	430.514	1.151964	0.3814028	4.399957
924	-8893.699	-9324.03	430.3314	1.132537	0.3611772	4.53678
930	-8840.918	-9271.239	430.3217	1.165409	0.3389499	4.550085
936	-8842.406	-9273.633	431.2269	1.210166	0.3389499	4.012209
942	-8834.069	-9265.106	431.0371	1.258594	0.3688787	4.057181
948	-8841.063	-9272.881	431.8178	1.306803	0.368107	3.581086
954	-8835.86	-9267.275	431.4156	1.229944	0.368107	3.857847
960	-8837.847	-9268.243	430.3954	1.243224	0.3625882	4.436884
966	-8835.584	-9267.072	431.4886	1.226911	0.3145824	3.883593
972	-8840.275	-9271.303	431.0284	1.178153	0.340403	4.141815
978	-8841.273	-9271.91	430.6373	1.222255	0.5293843	4.141815
984	-8845.804	-9276.425	430.6213	1.238233	0.5293843	4.141815
990	-8845.947	-9277.176	431.2289	1.205592	0.4934938	3.846574
996	-8839.086	-9270.294	431.2081	1.12952	0.3884675	4.010861
1002	-8837.561	-9268.264	430.7033	1.191851	0.3668612	4.287056
1008	-8845.348	-9275.858	430.5097	1.195156	0.4443042	4.310929
1014	-8829.161	-9260.471	431.3095	1.137007	0.4095287	3.925338
1020	-8826.46	-9256.4	429.9395	1.111306	0.3899234	4.735946
1026	-8834.648	-9264.763	430.1152	1.127471	0.4403695	4.575332
1032	-8845.928	-9277.08	431.1525	1.127471	0.3582839	4.078527
1038	-8859.028	-9289.679	430.6516	1.214789	0.4345081	4.229464
1044	-8855.133	-9286.461	431.3279	1.176124	0.3558098	3.953531
1050	-8859.27	-9291.147	431.8772	1.265409	0.3476757	3.595247
1056	-8863.638	-9295.305	431.6672	1.223252	0.345442	3.743986
1062	-8851.238	-9282.474	431.2362	1.186173	0.3686432	3.985096
1068	-8833.319	-9264.487	431.1681	1.220231	0.3298661	4.051279
1074	-8838.759	-9269.587	430.8277	1.129357	0.3841079	4.232341
1080	-8829.188	-9259.918	430.7294	1.129357	0.3841079	4.288011
1086	-8821.807	-9252.547	430.7406	1.189854	0.3469612	4.290516
1092	-8824.274	-9255.473	431.1989	1.263112	0.3588024	3.974003
1098	-8831.121	-9262.486	431.3647	1.184403	0.3230266	3.968062
1104	-8827.069	-9258.185	431.1159	1.144707	0.3808977	4.063359
1110	-8821.145	-9252.175	431.03	1.243888	0.3585428	4.081688
1116	-8825.204	-9256.759	431.5554	1.293589	0.3355393	3.78014
1122	-8826.06	-9258.194	432.1337	1.294596	0.3836038	3.385598
1128	-8843.812	-9276.02	432.2084	1.286933	0.3906807	3.338022
1134	-8832.424	-9264.47	432.0463	1.286933	0.3711433	3.455916
1140	-8825.155	-9256.7	431.545	1.190257	0.3944451	3.776029
1146	-8825.974	-9257.24	431.2657	1.180571	0.3590889	3.982649
1152	-8835.98	-9266.544	430.5642	1.250171	0.370055	4.329039
1158	-8830.427	-9261.681	431.2545	1.201149	0.370055	3.964431
1164	-8834.237	-9265.343	431.1062	1.191859	0.3723609	4.051776
1170	-8840.815	-9271.931	431.1162	1.181898	0.3723609	4.051776
1176	-8845.642	-9276.719	431.0771	1.160133	0.3875204	4.069236
1182	-8850.566	-9281.425	430.8582	1.182637	0.3843885	4.184462
1188	-8845.617	-9276.41	430.7923	1.147643	0.4376597	4.184462
1194	-8847.35	-9278.13	430.7795	1.123009	0.3649504	4.285123
1200	-8851.255	-9282.92	431.665	1.230817	0.4055308	3.670945
1206	-8842.598	-9274.179	431.5814	1.230817	0.3369296	3.799609
1212	-8829.155	-9260.754	431.5989	1.2019	0.3422317	3.799609
1218	-8836.53	-9267.344	430.8131	1.16343	0.3825677	4.22303
1224	-8834.399	-9265.434	431.0354	1.251283	0.3746126	4.055697
1230	-8834.296	-9265.471	431.1754	1.268548	0.3535522	3.990557
1236	-8837.46	-9268.876	431.4154	1.30835	0.3535522	3.830186
1242	-8847.923	-9279.538	431.6157	1.261102	0.3740462	3.717686
1248	-8836.169	-9267.809	431.6393	1.26813	0.3590809	3.717686
1254	-8841.696	-9273.336	431.6394	1.229551	0.3779501	3.717686
1260	-8837.177	-9268.101	430.9239	1.243528	0.3779501	4.119774
1266	-8834.714	-9266.46	431.7463	1.370039	0.4390102	3.506716
1272	-8831.395	-9262.361	430.9662	1.178558	0.3308849	4.188662
1278	-8840.001	-9270.069	430.0677	1.080773	0.4599132	4.608648
1284	-8826.814	-9257.008	430.1932	1.146327	0.3594269	4.608648
1290	-8833.876	-9263.712	429.836	1.136414	0.4010055	4.767716
1296	-8824.509	-9255.026	430.5168	1.172787	0.4862576	4.278283
1302	-8854.105	-9285.536	431.431	1.304698	0.3465847	3.831747
1308	-8845.863	-9277.068	431.2054	1.240625	0.3496579	3.994059
1314	-8825.016	-9256.517	431.5006	1.287308	0.3566418	3.789533
1320	-8828.627	-9259.834	431.2068	1.287308	0.4743864	3.830865
1326	-8831.153	-9261.941	430.788	1.158752	0.4543508	4.163636
1332	-8822.725	-9252.611	429.8862	1.08043	0.3905298	4.782276
1338	-8836.791	-9267.813	431.0212	1.172926	0.3740889	4.108996
1344	-8833.01	-9263.9	430.8902	1.141717	0.3565179	4.22164
1350	-8820.359	-9251.142	430.7833	1.141717	0.4103855	4.22164
1356	-8818.926	-9249.032	430.1054	1.118937	0.3905477	4.638144
1362	-8815.145	-9245.282	430.1375	1.100456	0.3836155	4.638144
1368	-8812.242	-9242.847	430.6055	1.109483	0.384555	4.3688
1374	-8808.877	-9240.074	431.1974	1.109483	0.3306178	4.096795
1380	-8814.778	-9246.6	431.8222	1.228511	0.3306178	3.669811
1386	-8819.096	-9250.589	431.4929	1.200831	0.4284256	3.76291
1392	-8812.827	-9244.641	431.814	1.235323	0.3437088	3.654273
1398	-8822.713	-9254.069	431.3556	1.160603	0.3367537	3.969702
1404	-8818.108	-9248.961	430.853	1.160603	0.3506485	4.239007
1410	-8818.585	-9249.653	431.0684	1.218697	0.4080824	4.018068
1416	-8821.473	-9252.707	431.2344	1.119348	0.3740348	4.018068
1422	-8820.352	-9251.163	430.8107	1.177988	0.3280266	4.280667
1428	-8814.561	-9244.539	429.978	1.115298	0.3790417	4.724199
1434	-8821.546	-9252.081	430.5352	1.103103	0.3303894	4.475517
1440	-8816.324	-9246.578	430.2542	1.049663	0.3279974	4.666221
1446	-8826.443	-9256.78	430.3374	1.127934	0.299254	4.612245
1452	-8838.111	-9269.829	431.7172	1.181892	0.3909047	3.685423
1458	-8839.942	-9270.876	430.9333	1.200126	0.3739006	4.143787
1464	-8849.78	-9280.723	430.9433	1.200126	0.3689496	4.143787
1470	-8827.626	-9259.171	431.545	1.294368	0.3480747	3.770253
1476	-8836.431	-9267.017	430.5862	1.204033	0.3423284	4.375315
1482	-8841.123	-9271.744	430.6205	1.199644	0.324263	4.380657
1488	-8833.17	-9263.732	430.5624	1.137854	0.3101578	4.466115
1494	-8814.529	-9244.523	429.9938	1.173542	0.335469	4.73348
1500	-8810.275	-9240.852	430.5768	1.173542	0.3772813	4.357026
1506	-8810.446	-9240.613	430.1667	1.12764	0.4147661	4.572812
1512	-8813.031	-9242.828	429.7973	1.109203	0.4310276	4.773045
1518	-8817.742	-9247.665	429.9228	1.065708	0.4310276	4.727208
1524	-8810.335	-9240.373	430.0378	1.053945	0.3687571	4.736713
1530	-8809.375	-9239.037	429.6624	1.043181	0.3888719	4.929645
1536	-8803.605	-9232.927	429.3214	1.046461	0.3376213	5.175549
1542	-8818.694	-9247.591	428.8962	1.056124	0.3506051	5.389742
1548	-8821.259	-9250.74	429.4813	1.071832	0.3506051	5.057528
1554	-8813.604	-9243.154	429.5494	1.097499	0.3624114	4.991846
1560	-8839.938	-9270.763	430.8259	1.22697	0.32762	4.244836
1566	-8841.888	-9273.705	431.8168	1.252501	0.3765582	3.603291
1572	-8832.635	-9263.266	430.631	1.171724	0.3871958	4.316272
1578	-8849.655	-9279.915	430.2608	1.164479	0.4155361	4.498389
1584	-8846.722	-9277.731	431.0084	1.213214	0.3112717	4.169801
1590	-8851.75	-9282.339	430.5892	1.196601	0.4263533	4.283629
1596	-8848.332	-9279.71	431.3775	1.138241	0.352875	3.950325
1602	-8850.374	-9281.432	431.0582	1.15788	0.3841216	4.085127
1608	-8842.9	-9273.605	430.7059	1.148247	0.3841216	4.290589
1614	-8840.659	-9271.878	431.2189	1.13223	0.3692175	4.025148
1620	-8825.537	-9256.094	430.5577	1.145111	0.3692175	4.393022
1626	-8829.399	-9259.801	430.4019	1.12371	0.3857998	4.474162
1632	-8828.651	-9259.183	430.5315	1.163477	0.4276348	4.333617
1638	-8824.902	-9255.469	430.5677	1.111996	0.3885522	4.384252
1644	-8822.632	-9253.215	430.5828	1.171207	0.2995231	4.449631
1650	-8820.764	-9251.732	430.9681	1.156701	0.3265897	4.205319
1656	-8825.783	-9256.694	430.9111	1.192372	0.3493033	4.189636
1662	-8853.644	-9284.751	431.1071	1.176959	0.3310353	4.109249
1668	-8840.492	-9271.805	431.3122	1.27514	0.3310353	3.936074
1674	-8829.361	-9259.868	430.5068	1.114801	0.3591323	4.450476
1680	-8828.809	-9259.474	430.6643	1.171103	0.4270348	4.254782
1686	-8842.143	-9273.298	431.1549	1.193984	0.3565666	4.041274
1692	-8835.015	-9265.156	430.1416	1.118979	0.4053531	4.601772
1698	-8826.381	-9257.754	431.3729	1.214014	0.3378862	3.927808
1704	-8839.341	-9269.986	430.6451	1.146429	0.3996187	4.308898
